program,code,description,agency
AIR QUALITY CONTROL,AQ01,Plan Approval Limited,MassDEP
AIR QUALITY CONTROL,AQ02,Plan Approval Non-Major Comprehensive,MassDEP
AIR QUALITY CONTROL,AQ03,Plan Approval Major Comprehensive,MassDEP
AIR QUALITY CONTROL,AQ08A,Emission Control Plan NOx/VOC State Only Review,MassDEP
AIR QUALITY CONTROL,AQ08B,Emission Control Plan NOx/VOC State & EPA Review,MassDEP
AIR QUALITY CONTROL,AQ09,Restricted Emissions Status Plan,MassDEP
AIR QUALITY CONTROL,AQ10,Operating Permit Minor Modification,MassDEP
AIR QUALITY CONTROL,AQ11,Operating Permit Administrative Amendment,MassDEP
AIR QUALITY CONTROL,AQ11A,OPERATING PERMIT ENROLLMENT,MassDEP
AIR QUALITY CONTROL,AQ12,Operating Permit Renewal,MassDEP
AIR QUALITY CONTROL,AQ13,Operating Permit Significant Modification,MassDEP
AIR QUALITY CONTROL,AQ14,Operating Permit Initial,MassDEP
AIR QUALITY CONTROL,AQ15,Group A Operating Permit,MassDEP
AIR QUALITY CONTROL,AQ16,Group B Operating Permit,MassDEP
AIR QUALITY CONTROL,AQ17,Group C Operating Permit,MassDEP
AIR QUALITY CONTROL,AQ18,Emission Reduction Banking & Trading Credit Certification,MassDEP
AIR QUALITY CONTROL,AQ19,CERTIFY ECP / NOX CAP W/O PUBLIC COMMENT,MassDEP
AIR QUALITY CONTROL,AQ20,CERTIFY ECP / NOX CAP WITH PUBLIC COMMENT,MassDEP
AIR QUALITY CONTROL,AQ21,CERTIFY ECP / NOX CAP WITH SIGNIFICANT PHYSICAL CHANGES,MassDEP
AIR QUALITY CONTROL,AQ22,Emission Control Plan - Municipal Waste Combustor,MassDEP
AIR QUALITY CONTROL,AQ23,PERSCRIBED OR ALTERNATIVE NOX EMISSION CNTRL PLAN,MassDEP
AIR QUALITY CONTROL,AQ25,Emission Control Plan - Power Plant,MassDEP
AIR QUALITY CONTROL,AQ27,CERTIFICATION OF GREENHOUSE GAS CREDITS,MassDEP
AIR QUALITY CONTROL,AQ29,Emission Control Plan - Clean Air Interstate Rule (CAIR),MassDEP
AIR QUALITY CONTROL,AQ30,Emission Control Plan - Carbon Dioxide Budget,MassDEP
AIR QUALITY CONTROL,AQ33,Plan Approval Limited/Comprehensive Consolidation,MassDEP
AIR QUALITY CONTROL,AQ34,Plan Approval Limited/Comprehensive Admin Amendment,MassDEP
ASBESTOS,AQ04/ANF001,Removal Notification,MassDEP
ASBESTOS,AQ06,Construction/Demolition Notification,MassDEP
HAZARDOUS WASTE,HW01,Level I Recycling,MassDEP
HAZARDOUS WASTE,HW03,Level III Recycling,MassDEP
HAZARDOUS WASTE,HW04,Level I Recycling Modification,MassDEP
HAZARDOUS WASTE,HW05,Transporter License HW including Mixed Wastes,MassDEP
HAZARDOUS WASTE,HW06,Transporter License Class B(4),MassDEP
HAZARDOUS WASTE,HW07,APPROVAL OF HW TREATABILITY STUDIES,MassDEP
HAZARDOUS WASTE,HW08,TSD Operation License Or Closure Plan (IRP),MassDEP
HAZARDOUS WASTE,HW09,TSD Class I Modification,MassDEP
HAZARDOUS WASTE,HW09A,TSD Class I Mod Notification - No Prior Written Approval,MassDEP
HAZARDOUS WASTE,HW10,TSD Class II Modification,MassDEP
HAZARDOUS WASTE,HW11,TSD Class III Modification (IRP),MassDEP
HAZARDOUS WASTE,HW12,Level III Recycling Class B(4) Materials (Precious Metals),MassDEP
HAZARDOUS WASTE,HW14,Transporter License HW Renewal,MassDEP
HAZARDOUS WASTE,HW15,Transporter License Class B(4) Renewal,MassDEP
HAZARDOUS WASTE,HW16B,WASTE DECLASSIFICATION W/ PUBLIC COMMENT (IRP),MassDEP
HAZARDOUS WASTE,HW17,Transporter License Class B(4) Minor Modification,MassDEP
HAZARDOUS WASTE,HW18,Transporter License HW Major Modification or Renewal,MassDEP
HAZARDOUS WASTE,HW19,Transporter License HW Minor Modification,MassDEP
HAZARDOUS WASTE,HW21,Level I Recycling/Renewal Class A Materials,MassDEP
